Method,consine,consine,consine,C1 function,C1 function,C1 function,normal dist,normal dist,normal dist
Integrand,Trapezoidal,Simpson,Gauss3,Trapezoidal,Simpson,Gauss3,Trapezoidal,Simpson,Gauss3
1,-2,0.666666667,0.044908401,0,0,0,1.213061319,1.737687106,1.712020245
2,0,7.40E-17,1.11E-16,0,0,0,1.60653066,1.712172757,1.711252788
4,0,7.40E-17,5.55E-17,0,0,-5.55E-17,1.685762232,1.711302635,1.711248842
8,1.11E-16,5.55E-17,5.55E-17,0,0,2.78E-17,1.704917534,1.711252093,1.711248785
16,8.33E-17,1.57E-16,9.71E-17,0,0,0,1.709668453,1.71124899,1.711248784
32,6.94E-17,4.63E-17,3.47E-17,0,0,3.47E-17,1.710853856,1.711248797,1.711248784
64,4.16E-17,2.08E-17,-1.39E-17,0,0,6.94E-18,1.711150061,1.711248785,1.711248784
128,-4.51E-17,9.25E-18,1.70E-16,0,0,-5.20E-18,1.711224104,1.711248784,1.711248784
256,1.84E-16,9.37E-17,2.26E-17,0,0,-7.81E-18,1.711242614,1.711248784,1.711248784
512,7.81E-17,5.18E-17,-1.86E-17,0,0,-3.90E-18,1.711247241,1.711248784,1.711248784
